0:0:0:0:0:0:0:1 - - [31/May/2018:16:42:45 -0300] "GET /connector-web/connectors/add? HTTP/1.1" 200 17130
0:0:0:0:0:0:0:1 - - [31/May/2018:16:42:45 -0300] "GET /connector-web/resources/stylesheet/theme.css HTTP/1.1" 200 12153
0:0:0:0:0:0:0:1 - - [31/May/2018:16:42:45 -0300] "GET /connector-web/resources/stylesheet/custom-theme.css HTTP/1.1" 200 7883
0:0:0:0:0:0:0:1 - - [31/May/2018:16:42:45 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard.css HTTP/1.1" 200 4557
0:0:0:0:0:0:0:1 - - [31/May/2018:16:42:45 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard_theme_circles.css HTTP/1.1" 200 4281
0:0:0:0:0:0:0:1 - - [31/May/2018:16:42:45 -0300] "GET /connector-web/resources/core/css/bootstrap.min.css HTTP/1.1" 200 154788
0:0:0:0:0:0:0:1 - - [31/May/2018:16:42:45 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard_theme_arrows.css HTTP/1.1" 200 5744
0:0:0:0:0:0:0:1 - - [31/May/2018:16:42:45 -0300] "GET /connector-web/resources/core/js/bootstrap.min.js HTTP/1.1" 200 35957
0:0:0:0:0:0:0:1 - - [31/May/2018:16:42:45 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard_theme_dots.css HTTP/1.1" 200 5252
0:0:0:0:0:0:0:1 - - [31/May/2018:16:42:45 -0300] "GET /connector-web/resources/core/js/smartWizard.js HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [31/May/2018:16:42:45 -0300] "GET /connector-web/resources/core/js/jquery.smartWizard.js HTTP/1.1" 200 26865
0:0:0:0:0:0:0:1 - - [31/May/2018:16:42:45 -0300] "GET /connector-web/resources/core/js/connector.js HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [31/May/2018:16:42:45 -0300] "GET /connector-web/resources/images/icon-settings.svg HTTP/1.1" 200 2788
0:0:0:0:0:0:0:1 - - [31/May/2018:16:42:45 -0300] "GET /connector-web/resources/images/icon-logout.svg HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [31/May/2018:16:42:45 -0300] "GET /connector-web/resources/images/icon-user.svg HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [31/May/2018:16:42:45 -0300] "GET /connector-web/resources/images/icon-help.svg HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [31/May/2018:16:42:45 -0300] "GET /connector-web/resources/images/logoAgesic.png HTTP/1.1" 200 3732
0:0:0:0:0:0:0:1 - - [31/May/2018:16:58:07 -0300] "GET /connector-web/connectors/ HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:39 -0300] "GET /connector-web/connectors/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:40 -0300] "GET /connector-web/loginPage HTTP/1.1" 200 2743
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:40 -0300] "GET /connector-web/resources/stylesheet/custom-theme.css HTTP/1.1" 200 7883
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:40 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard_theme_circles.css HTTP/1.1" 200 4281
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:40 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard_theme_arrows.css HTTP/1.1" 200 5744
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:40 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard.css HTTP/1.1" 200 4557
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:40 -0300] "GET /connector-web/resources/stylesheet/theme.css HTTP/1.1" 200 12153
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:40 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard_theme_dots.css HTTP/1.1" 200 5252
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:40 -0300] "GET /connector-web/resources/core/js/bootstrap.min.js HTTP/1.1" 200 35957
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:40 -0300] "GET /connector-web/resources/core/js/connector.js HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:40 -0300] "GET /connector-web/resources/core/css/bootstrap.min.css HTTP/1.1" 200 154788
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:41 -0300] "GET /connector-web/resources/core/js/jquery.smartWizard.js HTTP/1.1" 200 26865
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:41 -0300] "GET /connector-web/resources/core/js/smartWizard.js HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:41 -0300] "GET /connector-web/resources/images/logoAgesic.png HTTP/1.1" 200 3732
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:45 -0300] "POST /connector-web/appLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:47 -0300] "GET /connector-web/connectors HTTP/1.1" 200 14589
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:47 -0300] "GET /connector-web/resources/stylesheet/theme.css HTTP/1.1" 200 12153
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:47 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard.css HTTP/1.1" 200 4557
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:47 -0300] "GET /connector-web/resources/stylesheet/custom-theme.css HTTP/1.1" 200 7883
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:47 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard_theme_circles.css HTTP/1.1" 200 4281
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:47 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard_theme_arrows.css HTTP/1.1" 200 5744
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:47 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard_theme_dots.css HTTP/1.1" 200 5252
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:47 -0300] "GET /connector-web/resources/core/css/bootstrap.min.css HTTP/1.1" 200 154788
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:47 -0300] "GET /connector-web/resources/core/js/bootstrap.min.js HTTP/1.1" 200 35957
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:47 -0300] "GET /connector-web/resources/core/js/connector.js HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:47 -0300] "GET /connector-web/resources/core/js/jquery.smartWizard.js HTTP/1.1" 200 26865
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:47 -0300] "GET /connector-web/resources/images/icon-settings.svg HTTP/1.1" 200 2788
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:47 -0300] "GET /connector-web/resources/core/js/smartWizard.js HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:47 -0300] "GET /connector-web/resources/images/icon-help.svg HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:47 -0300] "GET /connector-web/resources/images/icon-user.svg HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:47 -0300] "GET /connector-web/resources/images/icon-logout.svg HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:47 -0300] "GET /connector-web/resources/images/icon-search.svg HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:47 -0300] "GET /connector-web/resources/images/icon-error.svg HTTP/1.1" 200 1314
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:47 -0300] "GET /connector-web/resources/images/icon-pencil.svg HTTP/1.1" 200 1282
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:47 -0300] "GET /connector-web/resources/images/icon-down-arrow.svg HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:47 -0300] "GET /connector-web/resources/images/logoAgesic.png HTTP/1.1" 200 3732
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:49 -0300] "GET /connector-web/connectors/filtered?type=Testing&tag= HTTP/1.1" 200 17406
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:49 -0300] "GET /connector-web/resources/core/css/bootstrap.min.css HTTP/1.1" 200 154788
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:50 -0300] "GET /connector-web/resources/stylesheet/theme.css HTTP/1.1" 200 12153
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:50 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard_theme_circles.css HTTP/1.1" 200 4281
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:50 -0300] "GET /connector-web/resources/stylesheet/custom-theme.css HTTP/1.1" 200 7883
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:50 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard_theme_arrows.css HTTP/1.1" 200 5744
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:50 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard.css HTTP/1.1" 200 4557
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:50 -0300] "GET /connector-web/resources/core/js/bootstrap.min.js HTTP/1.1" 200 35957
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:50 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard_theme_dots.css HTTP/1.1" 200 5252
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:50 -0300] "GET /connector-web/resources/core/js/connector.js HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:50 -0300] "GET /connector-web/resources/core/js/smartWizard.js HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:50 -0300] "GET /connector-web/resources/core/js/jquery.smartWizard.js HTTP/1.1" 200 26865
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:50 -0300] "GET /connector-web/resources/images/icon-settings.svg HTTP/1.1" 200 2788
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:50 -0300] "GET /connector-web/resources/images/icon-search.svg HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:50 -0300] "GET /connector-web/resources/images/icon-pencil.svg HTTP/1.1" 200 1282
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:50 -0300] "GET /connector-web/resources/images/icon-user.svg HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:50 -0300] "GET /connector-web/resources/images/icon-help.svg HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:50 -0300] "GET /connector-web/resources/images/icon-logout.svg HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:50 -0300] "GET /connector-web/resources/images/icon-error.svg HTTP/1.1" 200 1314
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:50 -0300] "GET /connector-web/resources/images/logoAgesic.png HTTP/1.1" 200 3732
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:50 -0300] "GET /connector-web/resources/images/icon-down-arrow.svg HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:51 -0300] "GET /connector-web/connectors/add? HTTP/1.1" 200 17130
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:51 -0300] "GET /connector-web/resources/stylesheet/theme.css HTTP/1.1" 200 12153
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:51 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard.css HTTP/1.1" 200 4557
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:51 -0300] "GET /connector-web/resources/stylesheet/custom-theme.css HTTP/1.1" 200 7883
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:51 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard_theme_circles.css HTTP/1.1" 200 4281
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:51 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard_theme_arrows.css HTTP/1.1" 200 5744
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:51 -0300] "GET /connector-web/resources/core/css/bootstrap.min.css HTTP/1.1" 200 154788
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:51 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard_theme_dots.css HTTP/1.1" 200 5252
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:51 -0300] "GET /connector-web/resources/core/js/connector.js HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:51 -0300] "GET /connector-web/resources/core/js/bootstrap.min.js HTTP/1.1" 200 35957
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:51 -0300] "GET /connector-web/resources/core/js/smartWizard.js HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:51 -0300] "GET /connector-web/resources/core/js/jquery.smartWizard.js HTTP/1.1" 200 26865
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:51 -0300] "GET /connector-web/resources/images/icon-settings.svg HTTP/1.1" 200 2788
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:51 -0300] "GET /connector-web/resources/images/icon-help.svg HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:51 -0300] "GET /connector-web/resources/images/icon-user.svg HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:51 -0300] "GET /connector-web/resources/images/icon-logout.svg HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [31/May/2018:17:04:51 -0300] "GET /connector-web/resources/images/logoAgesic.png HTTP/1.1" 200 3732
0:0:0:0:0:0:0:1 - - [31/May/2018:17:07:17 -0300] "POST /connector-web/connectors/add/uploadFile HTTP/1.1" 500 8874
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:24 -0300] "GET /connector-web/connectors/add? HTTP/1.1" 200 17130
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:25 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard.css HTTP/1.1" 200 4557
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:25 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard_theme_dots.css HTTP/1.1" 200 5252
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:25 -0300] "GET /connector-web/resources/stylesheet/theme.css HTTP/1.1" 200 12153
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:25 -0300] "GET /connector-web/resources/core/js/bootstrap.min.js HTTP/1.1" 200 35957
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:25 -0300] "GET /connector-web/resources/core/js/connector.js HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:25 -0300] "GET /connector-web/resources/core/js/jquery.smartWizard.js HTTP/1.1" 200 26865
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:25 -0300] "GET /connector-web/resources/core/js/smartWizard.js HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:25 -0300] "GET /connector-web/resources/stylesheet/custom-theme.css HTTP/1.1" 200 7883
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:25 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard_theme_arrows.css HTTP/1.1" 200 5744
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:25 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard_theme_circles.css HTTP/1.1" 200 4281
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:25 -0300] "GET /connector-web/resources/core/css/bootstrap.min.css HTTP/1.1" 200 154788
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:25 -0300] "GET /connector-web/resources/images/icon-settings.svg HTTP/1.1" 200 2788
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:25 -0300] "GET /connector-web/resources/images/icon-help.svg HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:25 -0300] "GET /connector-web/resources/images/icon-user.svg HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:25 -0300] "GET /connector-web/resources/images/icon-logout.svg HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:25 -0300] "GET /connector-web/resources/images/logoAgesic.png HTTP/1.1" 200 3732
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:30 -0300] "GET /connector-web/connectors HTTP/1.1" 200 17406
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:30 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard_theme_circles.css HTTP/1.1" 200 4281
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:30 -0300] "GET /connector-web/resources/stylesheet/custom-theme.css HTTP/1.1" 200 7883
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:30 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard_theme_arrows.css HTTP/1.1" 200 5744
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:30 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard_theme_dots.css HTTP/1.1" 200 5252
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:30 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard.css HTTP/1.1" 200 4557
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:30 -0300] "GET /connector-web/resources/core/js/bootstrap.min.js HTTP/1.1" 200 35957
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:30 -0300] "GET /connector-web/resources/core/css/bootstrap.min.css HTTP/1.1" 200 154788
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:30 -0300] "GET /connector-web/resources/core/js/connector.js HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:30 -0300] "GET /connector-web/resources/core/js/jquery.smartWizard.js HTTP/1.1" 200 26865
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:30 -0300] "GET /connector-web/resources/core/js/smartWizard.js HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:30 -0300] "GET /connector-web/resources/stylesheet/theme.css HTTP/1.1" 200 12153
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:30 -0300] "GET /connector-web/resources/images/icon-settings.svg HTTP/1.1" 200 2788
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:31 -0300] "GET /connector-web/resources/images/icon-help.svg HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:31 -0300] "GET /connector-web/resources/images/icon-pencil.svg HTTP/1.1" 200 1282
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:31 -0300] "GET /connector-web/resources/images/icon-user.svg HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:31 -0300] "GET /connector-web/resources/images/icon-logout.svg HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:31 -0300] "GET /connector-web/resources/images/icon-error.svg HTTP/1.1" 200 1314
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:31 -0300] "GET /connector-web/resources/images/icon-search.svg HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:31 -0300] "GET /connector-web/resources/images/logoAgesic.png HTTP/1.1" 200 3732
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:31 -0300] "GET /connector-web/resources/images/icon-down-arrow.svg HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:35 -0300] "GET /connector-web/connectors/add? HTTP/1.1" 200 17130
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:35 -0300] "GET /connector-web/resources/stylesheet/theme.css HTTP/1.1" 200 12153
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:35 -0300] "GET /connector-web/resources/core/css/bootstrap.min.css HTTP/1.1" 200 154788
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:35 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard_theme_arrows.css HTTP/1.1" 200 5744
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:35 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard_theme_dots.css HTTP/1.1" 200 5252
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:35 -0300] "GET /connector-web/resources/stylesheet/custom-theme.css HTTP/1.1" 200 7883
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:35 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard.css HTTP/1.1" 200 4557
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:35 -0300] "GET /connector-web/resources/core/js/connector.js HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:35 -0300] "GET /connector-web/resources/core/js/smartWizard.js HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:35 -0300] "GET /connector-web/resources/core/js/bootstrap.min.js HTTP/1.1" 200 35957
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:35 -0300] "GET /connector-web/resources/stylesheet/wizard/smart_wizard_theme_circles.css HTTP/1.1" 200 4281
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:35 -0300] "GET /connector-web/resources/core/js/jquery.smartWizard.js HTTP/1.1" 200 26865
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:35 -0300] "GET /connector-web/resources/images/icon-settings.svg HTTP/1.1" 200 2788
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:35 -0300] "GET /connector-web/resources/images/icon-help.svg HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:35 -0300] "GET /connector-web/resources/images/logoAgesic.png HTTP/1.1" 200 3732
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:35 -0300] "GET /connector-web/resources/images/icon-logout.svg HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [31/May/2018:17:09:35 -0300] "GET /connector-web/resources/images/icon-user.svg HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [31/May/2018:17:13:57 -0300] "POST /connector-web/connectors/add/uploadFile HTTP/1.1" 500 8609
